CountryID,Year,GDP_Billions_of_USD
1,2018,456.17
2,2018,532.27
3,2018,65.20
4,2018,60.81
5,2018,24.49
6,2018,245.23
7,2018,352.06
8,2018,30.76
9,2018,274.21
10,2018,2780.15
11,2018,3951.34
12,2018,218.23
13,2018,161.18
14,2018,382.75
15,2018,2075.86
16,2018,34.88
17,2018,53.30
18,2018,69.55
19,2018,14.56
20,2018,914.52
21,2018,585.82
22,2018,240.90
23,2018,239.55
24,2018,106.57
25,2018,54.06
26,2018,1427.53
27,2018,556.07
1,2023,515.20
2,2023,624.25
3,2023,100.64
4,2023,78.88
5,2023,30.86
6,2023,330.48
7,2023,405.63
8,2023,41.55
9,2023,301.67
10,2023,3049.02
11,2023,4429.84
12,2023,239.30
13,2023,188.51
14,2023,594.10
15,2023,2186.08
16,2023,47.40
17,2023,78.35
18,2023,86.97
19,2023,19.41
20,2023,1092.75
21,2023,842.17
22,2023,267.72
23,2023,348.90
24,2023,127.53
25,2023,68.11
26,2023,1582.05
27,2023,599.05