CountryID,Year,LPI_Score,Customs_Score,Infrastructure_Score,International_shipments_Score,Logistics_competence_Score,Tracking_&_tracing _Score,Timeliness_Score
1,2018,4.03,3.71,4.18,3.88,4.08,4.09,4.25
2,2018,4.04,3.66,3.98,3.99,4.13,4.05,4.41
3,2018,3.03,2.94,2.76,3.23,2.88,3.02,3.31
4,2018,3.1,2.98,3.01,2.93,3.1,3.01,3.59
5,2018,3.15,3.05,2.89,3.15,3,3.15,3.62
6,2018,3.68,3.29,3.46,3.75,3.72,3.7,4.13
7,2018,3.99,3.92,3.96,3.53,4.01,4.18,4.41
8,2018,3.31,3.32,3.1,3.26,3.15,3.21,3.8
9,2018,3.97,3.82,4,3.56,3.89,4.32,4.28
10,2018,3.84,3.59,4,3.55,3.84,4,4.15
11,2018,4.2,4.09,4.37,3.86,4.31,4.24,4.39
12,2018,3.2,2.84,3.17,3.3,3.06,3.18,3.66
13,2018,3.42,3.35,3.27,3.22,3.21,3.67,3.79
14,2018,3.51,3.36,3.29,3.42,3.6,3.62,3.76
15,2018,3.74,3.47,3.85,3.51,3.66,3.85,4.13
16,2018,2.81,2.8,2.98,2.74,2.69,2.79,2.88
17,2018,3.02,2.85,2.73,2.79,2.96,3.12,3.65
18,2018,3.63,3.53,3.63,3.37,3.76,3.61,3.9
19,2018,2.81,2.7,2.9,2.7,2.8,2.8,3.01
20,2018,4.02,3.92,4.21,3.68,4.09,4.02,4.25
21,2018,3.54,3.25,3.21,3.68,3.58,3.51,3.95
22,2018,3.64,3.17,3.25,3.83,3.71,3.72,4.13
23,2018,3.12,2.58,2.91,3.18,3.07,3.26,3.68
24,2018,3.03,2.79,3,3.1,3.14,2.99,3.14
25,2018,3.31,3.42,3.26,3.19,3.05,3.27,3.7
26,2018,3.83,3.62,3.84,3.83,3.8,3.83,4.06
27,2018,4.05,4.05,4.24,3.92,3.98,3.88,4.28
1,2023,4,3.7,3.9,3.8,4,4.2,4.3
2,2023,4,3.9,4.1,3.8,4.2,4,4.2
3,2023,3.2,3.1,3.1,3,3.3,3.3,3.5
4,2023,3.3,3,3,3.6,3.4,3.4,3.2
5,2023,3.2,2.9,2.8,3.1,3.2,3.4,3.5
6,2023,3.3,3,3,3.4,3.6,3.2,3.7
7,2023,4.1,4.1,4.1,3.6,4.1,4.3,4.1
8,2023,3.6,3.2,3.5,3.4,3.7,3.8,4.1
9,2023,4.2,4,4.2,4.1,4.2,4.2,4.3
10,2023,3.9,3.7,3.8,3.7,3.8,4,4.1
11,2023,4.1,3.9,4.3,3.7,4.2,4.2,4.1
12,2023,3.7,3.2,3.7,3.8,3.8,3.9,3.9
13,2023,3.2,2.7,3.1,3.4,3.1,3.4,3.6
14,2023,3.6,3.4,3.5,3.6,3.6,3.7,3.7
15,2023,3.7,3.4,3.8,3.4,3.8,3.9,3.9
16,2023,3.5,3.3,3.3,3.2,3.7,3.6,4
17,2023,3.4,3.2,3.5,3.4,3.6,3.1,3.6
18,2023,3.6,3.6,3.6,3.6,3.9,3.5,3.5
19,2023,3.3,3.4,3.7,3,3.4,3.4,3.2
20,2023,4.1,3.9,4.2,3.7,4.2,4.2,4
21,2023,3.6,3.4,3.5,3.3,3.6,3.8,3.9
22,2023,3.4,3.2,3.6,3.1,3.6,3.2,3.6
23,2023,3.2,2.7,2.9,3.4,3.3,3.5,3.6
24,2023,3.3,3.2,3.3,3,3.4,3.3,3.5
25,2023,3.3,3.4,3.6,3.4,3.3,3,3.3
26,2023,3.9,3.6,3.8,3.7,3.9,4.1,4.2
27,2023,4,4,4.2,3.4,4.2,4.1,4.2